,series_max,series_min
X1,2.2241435152638,-1.7906522034670902
X2,2.2241435152638,-1.7906522034670902
X3,2.2241435152638,-1.7906522034670902
X4,2.2241435152638,-1.7906522034670902
X5,2.2241435152638,-1.7906522034670902
X6,2.2241435152638,-1.7906522034670902
X7,2.2241435152638,-1.7906522034670902
X8,2.2241435152638,-1.7906522034670902
X9,2.2241435152638,-1.7906522034670902
X10,2.2241435152638,-1.7906522034670902
X11,2.2241435152638,-1.7906522034670902
X12,1.14496129848521,-1.06477700115775
Y,8.814528,0.0366336
