,series_max,series_min
X1,2.68060090413259,-3.04195322020967
X2,2.14892646696078,-2.5390993419914403
X3,2.14892646696078,-2.5390993419914403
X4,2.14892646696078,-2.5390993419914403
X5,2.14892646696078,-2.5390993419914403
X6,2.14892646696078,-2.5390993419914403
X7,6.684794284048361,-0.9539243147636222
X8,6.684794284048361,-0.9539243147636222
X9,6.684794284048361,-0.9539243147636222
X10,6.684794284048361,-0.9539243147636222
X11,6.684794284048361,-0.9539243147636222
X12,6.684794284048361,-0.9539243147636222
X13,6.684794284048361,-0.9539243147636222
X14,6.684794284048361,-0.9539243147636222
X15,6.684794284048361,-0.9539243147636222
X16,6.684794284048361,-0.9539243147636222
X17,6.684794284048361,-0.9539243147636222
X18,6.684794284048361,-0.9539243147636222
X19,6.684794284048361,-0.9539243147636222
X20,6.684794284048361,-0.9539243147636222
X21,6.684794284048361,-0.9539243147636222
X22,6.684794284048361,-0.9539243147636222
X23,6.684794284048361,-0.9539243147636222
X24,6.684794284048361,-0.9539243147636222
X25,6.684794284048361,-0.9539243147636222
X26,6.684794284048361,-0.9539243147636222
X27,6.684794284048361,-0.9539243147636222
X28,6.684794284048361,-0.9539243147636222
X29,6.684794284048361,-0.9539243147636222
X30,6.684794284048361,-0.9539243147636222
X31,6.684794284048361,-0.9539243147636222
Y,8.814528,0.0366336
