,series_max,series_min
X1,11.91557243,-12.05916716
X2,11.91557243,-12.05916716
X3,11.91557243,-12.05916716
X4,11.57715461,-13.45213683
X5,11.57715461,-13.45213683
X6,11.57715461,-13.45213683
X7,11.57715461,-13.45213683
X8,11.57715461,-13.45213683
X9,11.57715461,-13.45213683
X10,11.57715461,-13.45213683
X11,11.57715461,-13.45213683
X12,11.57715461,-13.45213683
X13,11.57715461,-13.45213683
X14,11.57715461,-13.45213683
X15,11.57715461,-13.45213683
X16,11.57715461,-13.45213683
X17,11.57715461,-13.45213683
X18,11.57715461,-13.45213683
X19,11.57715461,-13.45213683
X20,11.57715461,-13.45213683
X21,8.342583918999999,-8.666903592999999
X22,8.342583918999999,-8.666903592999999
X23,8.342583918999999,-8.666903592999999
X24,8.342583918999999,-8.666903592999999
X25,8.342583918999999,-8.666903592999999
X26,8.342583918999999,-8.666903592999999
X27,8.342583918999999,-8.666903592999999
X28,8.342583918999999,-8.666903592999999
X29,8.342583918999999,-8.666903592999999
X30,8.342583918999999,-8.666903592999999
X31,8.342583918999999,-8.666903592999999
X32,8.342583918999999,-8.666903592999999
X33,8.342583918999999,-8.666903592999999
X34,8.342583918999999,-8.666903592999999
X35,8.342583918999999,-8.666903592999999
X36,8.342583918999999,-8.666903592999999
X37,8.342583918999999,-8.666903592999999
X38,4.656407299,-4.216057487
X39,4.656407299,-4.216057487
X40,4.656407299,-4.216057487
X41,4.656407299,-4.216057487
X42,4.656407299,-4.216057487
X43,4.656407299,-4.216057487
X44,4.656407299,-4.216057487
X45,4.656407299,-4.216057487
X46,4.656407299,-4.216057487
X47,4.656407299,-4.216057487
X48,4.656407299,-4.216057487
X49,2.559999994,-2.430417065
X50,2.559999994,-2.430417065
X51,2.559999994,-2.430417065
X52,2.559999994,-2.430417065
X53,2.559999994,-2.430417065
X54,2.559999994,-2.430417065
X55,2.559999994,-2.430417065
X56,2.559999994,-2.430417065
X57,1.732940531,-2.689612116
X58,1.732940531,-2.428410111
X59,1.732940531,-2.1781104819999997
X60,1.732940531,-1.938531396
X61,1.732940531,-1.709491015
X62,1.732940531,-1.490807505
X63,1.732940531,-1.382877746
X64,1.732940531,-1.382877746
X65,1.732940531,-1.382877746
X66,1.732940531,-1.382877746
X67,1.732940531,-1.382877746
X68,1.732940531,-1.382877746
X69,1.732940531,-1.382877746
X70,1.732940531,-1.382877746
X71,1.732940531,-1.382877746
X72,1.732940531,-1.382877746
X73,1.732940531,-1.382877746
X74,1.732940531,-1.382877746
X75,1.732940531,-1.382877746
X76,1.732940531,-1.382877746
X77,2.032471643,-1.7544400080000002
X78,2.032471643,-1.7544400080000002
X79,2.032471643,-1.7544400080000002
X80,2.032471643,-1.7544400080000002
X81,2.032471643,-1.7544400080000002
X82,2.032471643,-1.7544400080000002
X83,2.032471643,-1.7544400080000002
X84,2.032471643,-1.7544400080000002
X85,2.032471643,-1.7544400080000002
X86,2.032471643,-1.7544400080000002
X87,2.032471643,-1.7544400080000002
X88,2.032471643,-1.7544400080000002
X89,2.032471643,-1.7544400080000002
X90,2.032471643,-1.7544400080000002
X91,2.032471643,-1.7544400080000002
X92,2.032471643,-1.7544400080000002
X93,2.032471643,-1.7544400080000002
X94,2.032471643,-1.7544400080000002
X95,2.032471643,-1.7544400080000002
X96,2.032471643,-1.7544400080000002
X97,0.110446592,-0.08634514199999999
X98,0.110446592,-0.08634514199999999
X99,0.110446592,-0.08634514199999999
X100,0.110446592,-0.08634514199999999
X101,0.110446592,-0.08634514199999999
X102,0.110446592,-0.08634514199999999
X103,0.110446592,-0.08634514199999999
X104,0.110446592,-0.08634514199999999
X105,0.110446592,-0.08634514199999999
X106,0.110446592,-0.08634514199999999
X107,0.110446592,-0.08634514199999999
X108,0.110446592,-0.08634514199999999
X109,0.110446592,-0.08634514199999999
X110,0.110446592,-0.08634514199999999
X111,0.110446592,-0.08634514199999999
X112,0.110446592,-0.08634514199999999
X113,0.110446592,-0.08634514199999999
X114,0.110446592,-0.08634514199999999
X115,0.110446592,-0.08634514199999999
X116,0.110446592,-0.08634514199999999
X117,7.272354578,4.695044921
X118,7.272354578,4.68190392
X119,7.272354578,4.668729503
X120,7.272354578,4.655521671
X121,7.272354578,4.642280423
X122,7.272354578,4.629005759
X123,7.272354578,4.615697679
X124,7.272354578,4.602356184
X125,7.272354578,4.588981273
X126,7.272354578,4.575572945
X127,7.272354578,4.562131203
X128,7.272354578,4.5486560439999995
X129,7.272354578,4.53514747
X130,7.272354578,4.521605479
X131,7.272354578,4.5080300730000005
X132,7.272354578,4.4944212519999995
X133,7.272354578,4.4807790139999994
X134,7.272354578,4.467103361
X135,7.272354578,4.453394292
X136,7.272354578,4.439651807
Y,43.790112,0.07156512
