,series_max,series_min
X1,12.235144472721,2.0995749944095503
X2,12.235144472721,2.0995749944095503
X3,12.235144472721,2.0995749944095503
X4,8.9492775608724,-8.90354680582849
X5,8.9492775608724,-8.90354680582849
X6,8.9492775608724,-8.90354680582849
X7,8.9492775608724,-8.90354680582849
X8,8.9492775608724,-8.90354680582849
X9,8.9492775608724,-8.90354680582849
X10,8.9492775608724,-8.90354680582849
X11,8.9492775608724,-8.90354680582849
X12,8.9492775608724,-8.90354680582849
X13,8.9492775608724,-8.90354680582849
X14,8.9492775608724,-8.90354680582849
X15,5.33122449471231,-5.17044366252972
Y,43.790112,0.07156512
