,series_max,series_min
X1,7.425309964739441,0.7440307109253129
X2,7.425309964739441,0.7440307109253129
X3,7.425309964739441,0.7440307109253129
X4,7.425309964739441,0.7440307109253129
X5,7.425309964739441,0.7440307109253129
X6,7.425309964739441,0.7440307109253129
X7,7.425309964739441,0.7440307109253129
X8,7.425309964739441,0.7440307109253129
X9,7.425309964739441,0.7440307109253129
X10,7.425309964739441,0.7440307109253129
X11,7.425309964739441,0.7440307109253129
X12,7.425309964739441,0.7440307109253129
X13,7.425309964739441,0.7440307109253129
X14,7.425309964739441,0.7440307109253129
X15,7.425309964739441,0.7440307109253129
X16,7.425309964739441,0.7440307109253129
X17,7.425309964739441,0.7440307109253129
X18,7.425309964739441,0.7440307109253129
X19,7.425309964739441,0.7440307109253129
X20,7.425309964739441,0.7440307109253129
X21,7.425309964739441,0.7440307109253129
X22,7.425309964739441,0.7440307109253129
X23,7.425309964739441,0.7440307109253129
X24,7.425309964739441,0.7440307109253129
X25,7.425309964739441,0.7440307109253129
X26,7.425309964739441,0.7440307109253129
X27,7.425309964739441,0.7440307109253129
X28,7.425309964739441,0.7440307109253129
X29,7.425309964739441,0.7440307109253129
X30,7.425309964739441,0.7440307109253129
X31,4.9755282013943205,-4.958972829088941
X32,4.9755282013943205,-4.958972829088941
X33,4.9755282013943205,-4.958972829088941
X34,4.9755282013943205,-4.958972829088941
X35,4.9755282013943205,-4.958972829088941
X36,4.9755282013943205,-4.958972829088941
X37,4.9755282013943205,-4.958972829088941
X38,4.9755282013943205,-4.958972829088941
X39,4.9755282013943205,-4.958972829088941
X40,4.9755282013943205,-4.958972829088941
X41,4.9755282013943205,-4.958972829088941
X42,4.9755282013943205,-4.958972829088941
X43,4.9755282013943205,-4.958972829088941
X44,4.9755282013943205,-4.958972829088941
X45,4.9755282013943205,-4.958972829088941
X46,4.9755282013943205,-4.958972829088941
X47,4.9755282013943205,-4.958972829088941
X48,4.9755282013943205,-4.958972829088941
X49,4.9755282013943205,-4.958972829088941
X50,4.9755282013943205,-4.958972829088941
X51,4.9755282013943205,-4.958972829088941
X52,4.9755282013943205,-4.958972829088941
X53,4.9755282013943205,-4.958972829088941
X54,4.9755282013943205,-4.958972829088941
X55,4.9755282013943205,-4.958972829088941
X56,2.16641293411984,-2.29486679934013
X57,2.16641293411984,-2.29486679934013
X58,2.16641293411984,-2.29486679934013
X59,2.16641293411984,-2.29486679934013
X60,2.16641293411984,-2.29486679934013
X61,2.16641293411984,-2.29486679934013
X62,2.16641293411984,-2.29486679934013
X63,2.16641293411984,-2.29486679934013
X64,3.7263076452078,-3.6777869940874903
X65,3.7263076452078,-3.6777869940874903
X66,3.7263076452078,-3.6777869940874903
X67,3.7263076452078,-3.6777869940874903
X68,3.7263076452078,-3.6777869940874903
X69,3.7263076452078,-3.6777869940874903
X70,3.7263076452078,-3.6777869940874903
X71,3.7263076452078,-3.6777869940874903
X72,3.7263076452078,-3.6777869940874903
X73,3.7263076452078,-3.6777869940874903
X74,3.7263076452078,-3.6777869940874903
X75,3.7263076452078,-3.6777869940874903
X76,3.7263076452078,-3.6777869940874903
X77,3.7263076452078,-3.6777869940874903
X78,3.7263076452078,-3.6777869940874903
X79,3.7263076452078,-3.6777869940874903
X80,3.7263076452078,-3.6777869940874903
X81,2.57564330860789,-2.4924932830764503
X82,2.57564330860789,-2.4924932830764503
X83,2.57564330860789,-2.4924932830764503
X84,2.57564330860789,-2.4924932830764503
X85,2.57564330860789,-2.4924932830764503
X86,2.57564330860789,-2.4924932830764503
X87,1.87122095130553,-2.02409702933811
X88,1.87122095130553,-2.02409702933811
X89,1.48920783629693,-1.61054141216443
X90,1.48920783629693,-1.61054141216443
X91,2.23169823781683,-2.34411664456344
X92,2.23169823781683,-2.34411664456344
X93,2.23169823781683,-2.34411664456344
X94,2.23169823781683,-2.34411664456344
X95,2.23169823781683,-2.34411664456344
X96,2.23169823781683,-2.34411664456344
X97,2.23169823781683,-2.34411664456344
X98,2.23169823781683,-2.34411664456344
X99,2.23169823781683,-2.34411664456344
X100,2.23169823781683,-2.34411664456344
X101,2.23169823781683,-2.34411664456344
X102,2.23169823781683,-2.34411664456344
Y,25.251264000000003,0.05609088
