,series_max,series_min
X1,2.4215457732778303,0.538462415820395
X2,2.4215457732778303,0.538462415820395
X3,2.2241435152638,-1.7906522034670902
X4,2.2241435152638,-1.7906522034670902
X5,2.2241435152638,-1.7906522034670902
X6,2.2241435152638,-1.7906522034670902
X7,2.2241435152638,-1.7906522034670902
X8,2.2241435152638,-1.7906522034670902
X9,2.2241435152638,-1.7906522034670902
X10,2.2241435152638,-1.7906522034670902
X11,2.2241435152638,-1.7906522034670902
X12,2.2241435152638,-1.7906522034670902
X13,2.2241435152638,-1.7906522034670902
X14,2.2241435152638,-1.7906522034670902
X15,2.2241435152638,-1.7906522034670902
X16,2.2241435152638,-1.7906522034670902
X17,2.2241435152638,-1.7906522034670902
X18,2.2241435152638,-1.7906522034670902
X19,2.2241435152638,-1.7906522034670902
X20,1.14496129848521,-1.06477700115775
X21,1.14496129848521,-1.06477700115775
X22,1.14496129848521,-1.06477700115775
X23,1.14496129848521,-1.06477700115775
X24,1.14496129848521,-1.06477700115775
X25,1.14496129848521,-1.06477700115775
X26,1.14496129848521,-1.06477700115775
X27,0.703319796312054,-0.679193392982348
Y,8.814528,0.0366336
